n,eps_cinf,eps_hann,eps_std
89,5.6145357742549719146e-12,1.905451045276696e-06,6.748007265728657e-02
90,5.2981214003109638765e-12,1.852951953800685e-06,6.710407117933857e-02
91,5.2566189397846701289e-12,1.802455905861019e-06,6.673428428263768e-02
92,5.2196672458627887882e-12,1.753865698136135e-06,6.637054260920749e-02
93,5.1660877234541728395e-12,1.707089831305640e-06,6.601268319286212e-02
94,5.0204962432669754957e-12,1.662042118637191e-06,6.566054915234781e-02
95,4.8050608198828918219e-12,1.618641325241924e-06,6.531398940230068e-02
96,4.5248630397082904248e-12,1.576810835303972e-06,6.497285838081046e-02
97,4.1910039185376664185e-12,1.536478344848547e-06,6.463701579247458e-02
98,3.8344881575779465409e-12,1.497575577850861e-06,6.430632636591219e-02
99,3.4511948953141263130e-12,1.460038023697846e-06,6.398065962478622e-02
100,3.0770505221406943894e-12,1.423804694198389e-06,6.365988967145302e-02
101,2.6985749038230401657e-12,1.388817898508932e-06,6.334389498242472e-02
102,2.3480809659920477717e-12,1.355023034492580e-06,6.303255821488971e-02
103,2.0084714719871078052e-12,1.322368395164889e-06,6.272576602359117e-02
104,1.7052964403792319555e-12,1.290804989001374e-06,6.242340888741507e-02
105,1.4217920310618386419e-12,1.260286372992293e-06,6.212538094508471e-02
106,1.1761748402312273301e-12,1.230768497429685e-06,6.183157983940205e-02
107,9.5436374687712716027e-13,1.202209561500961e-06,6.154190656951530e-02
108,7.6791180561583493007e-13,1.174569878843564e-06,6.125626535072858e-02
109,6.0672508925294939561e-13,1.147811752289360e-06,6.097456348140272e-02
110,4.7691426474393270064e-13,1.121899357093811e-06,6.069671121652709e-02
111,3.7307332981985043707e-13,1.096798632003812e-06,6.042262164757101e-02
112,2.9689906389109281426e-13,1.072477177572357e-06,6.015221058824934e-02
113,2.4648147818913666876e-13,1.048904161180265e-06,5.988539646586120e-02
114,2.1725738347852088473e-13,1.026050228266740e-06,5.962210021788344e-02
115,2.0524183591604122392e-13,1.003887419312441e-06,5.936224519352101e-02
116,2.0073646263217904394e-13,9.823890921572198e-07,5.910575705993595e-02
117,2.0056136001944622043e-13,9.615298492662599e-07,5.885256371289439e-02
118,1.9925855305456797699e-13,9.412854695915024e-07,5.860259519158772e-02
119,1.9674388625347467977e-13,9.216328447009889e-07,5.835578359739936e-02
120,1.9150321518951628162e-13,9.025499188760803e-07,5.811206301640297e-02
121,1.8412984327431454309e-13,8.840156328997292e-07,5.787136944539116e-02
122,1.7478490311933131275e-13,8.660098712800992e-07,5.763364072124621e-02
123,1.6378739971944867375e-13,8.485134126729808e-07,5.739881645347589e-02
124,1.5191954930711721791e-13,8.315078832851047e-07,5.716683795974797e-02
125,1.3913436169586763654e-13,8.149757130577536e-07,5.693764820426719e-02
126,1.2637916117791773267e-13,7.989000944432706e-07,5.671119173884787e-02
127,1.1335285658061159855e-13,7.832649436019066e-07,5.648741464654373e-02
128,1.0095868934699886770e-13,7.680548638597328e-07,5.626626448770489e-02
129,8.8767366724739125508e-14,7.532551112789679e-07,5.604769024833949e-02
130,7.7545163404188584223e-14,7.388515622039267e-07,5.583164229066442e-02
131,6.6831780809902090018e-14,7.248306826542786e-07,5.561807230573643e-02
132,5.7224439310351062917e-14,7.111794994476737e-07,5.540693326806075e-02
133,4.8297084002700164365e-14,6.978855729426652e-07,5.519817939208068e-02
134,4.0478563264447584007e-14,6.849369712984107e-07,5.499176609045642e-02
135,3.3417483398164003162e-14,6.723222461567120e-07,5.478764993404712e-02
136,2.7392299418825451163e-14,6.600304096580909e-07,5.458578861351431e-02
137,2.2151200107254411976e-14,6.480509127094241e-07,5.438614090246982e-02
138,1.7848414491532767408e-14,6.363736244265503e-07,5.418866662209529e-02
139,1.4346047278252691417e-14,6.249888126802148e-07,5.399332660716417e-02
140,1.1692407523060945603e-14,6.138871256786216e-07,5.380008267340118e-02
141,9.8338979280939279661e-15,6.030595745249008e-07,5.360889758611732e-02
142,8.6651732896635850760e-15,5.924975166909188e-07,5.341973503006195e-02
143,8.0848542756461860275e-15,5.821926403535430e-07,5.323255958043655e-02
144,7.8277798807131111125e-15,5.721369495424700e-07,5.304733667501767e-02
145,7.7823024793811258771e-15,5.623227500525647e-07,5.286403258733910e-02
146,7.7555512879013707528e-15,5.527426360765087e-07,5.268261440088621e-02
147,7.7243715818124319728e-15,5.433894775154438e-07,5.250304998425747e-02
148,7.6146065508464500961e-15,5.342564079298769e-07,5.232530796725070e-02
149,7.4405105357400917334e-15,5.253368130942710e-07,5.214935771783356e-02
150,7.1892205102171325202e-15,5.166243201209315e-07,5.197516931996000e-02
151,6.8751408729387863243e-15,5.081127871215833e-07,5.180271355219600e-02
152,6.5119299630476107069e-15,4.997962933761926e-07,5.163196186712019e-02
153,6.1049140420999880307e-15,4.916691299820294e-07,5.146288637146620e-02
154,5.6781160673894473173e-15,4.837257909559865e-07,5.129545980697528e-02
155,5.2283104772554790772e-15,4.759609647648374e-07,5.112965553192979e-02
156,4.7820089215860341005e-15,4.683695262611661e-07,5.096544750333851e-02
157,4.3302043768003649529e-15,4.609465290026860e-07,5.080281025974730e-02
158,3.8979099919115902343e-15,4.536871979345152e-07,5.064171890464903e-02
159,3.4730898572977504674e-15,4.465869224147546e-07,5.048214909046835e-02
160,3.0773282988598702797e-15,4.396412495663821e-07,5.032407700309784e-02
161,2.6977239945690388250e-15,4.328458779361781e-07,5.016747934696337e-02
162,2.3516753746929683846e-15,4.261966514465092e-07,5.001233333059721e-02
163,2.0269450506815908602e-15,4.196895536246314e-07,4.985861665269881e-02
164,1.7366729743533822277e-15,4.133207020936744e-07,4.970630748866375e-02
165,1.4702995812317301989e-15,4.070863433139217e-07,4.955538447756244e-02
166,1.2370280998179457171e-15,4.009828475600421e-07,4.940582670955099e-02
